market_hash_name,base_name,wear,min_price,suggested_price,mean_price,quantity
M4A4 | Howl (Factory New),M4A4 | Howl,Factory New,6979.61,8513.21,8545.66,3
Souvenir Dual Berettas | Colony (Factory New),Souvenir Dual Berettas | Colony,Factory New,,11.87,,0
Souvenir Dual Berettas | Colony (Field-Tested),Souvenir Dual Berettas | Colony,Field-Tested,0.44,0.28,3.6,99
Souvenir Dual Berettas | Colony (Minimal Wear),Souvenir Dual Berettas | Colony,Minimal Wear,1.14,1.01,11.67,50
Souvenir Dual Berettas | Colony (Well-Worn),Souvenir Dual Berettas | Colony,Well-Worn,1.33,0.68,4.12,11
Souvenir Dual Berettas | Contractor (Battle-Scarred),Souvenir Dual Berettas | Contractor,Battle-Scarred,215.42,11.39,215.42,1
Souvenir Dual Berettas | Contractor (Factory New),Souvenir Dual Berettas | Contractor,Factory New,,868.74,,0
Souvenir Dual Berettas | Contractor (Field-Tested),Souvenir Dual Berettas | Contractor,Field-Tested,49.99,10.27,51.71,2
Souvenir Dual Berettas | Contractor (Minimal Wear),Souvenir Dual Berettas | Contractor,Minimal Wear,19.96,10.33,21.02,2
Souvenir Dual Berettas | Contractor (Well-Worn),Souvenir Dual Berettas | Contractor,Well-Worn,699.99,7.36,699.99,1
Souvenir Dual Berettas | Demolition (Battle-Scarred),Souvenir Dual Berettas | Demolition,Battle-Scarred,,10.53,,0
Souvenir Dual Berettas | Demolition (Field-Tested),Souvenir Dual Berettas | Demolition,Field-Tested,23.34,14.37,40.68,4
Souvenir Dual Berettas | Demolition (Well-Worn),Souvenir Dual Berettas | Demolition,Well-Worn,,12.23,,0
Souvenir Dual Berettas | Drift Wood (Battle-Scarred),Souvenir Dual Berettas | Drift Wood,Battle-Scarred,0.02,0.03,1.64,58
Souvenir Dual Berettas | Drift Wood (Factory New),Souvenir Dual Berettas | Drift Wood,Factory New,0.16,0.21,1.45,155
Souvenir Dual Berettas | Drift Wood (Field-Tested),Souvenir Dual Berettas | Drift Wood,Field-Tested,0.02,0.03,0.36,749
Souvenir Dual Berettas | Drift Wood (Minimal Wear),Souvenir Dual Berettas | Drift Wood,Minimal Wear,0.02,0.04,1.12,187
Souvenir Dual Berettas | Drift Wood (Well-Worn),Souvenir Dual Berettas | Drift Wood,Well-Worn,0.03,0.04,0.69,47
Souvenir Dual Berettas | Oil Change (Battle-Scarred),Souvenir Dual Berettas | Oil Change,Battle-Scarred,0.04,0.06,0.04,1
Souvenir Dual Berettas | Oil Change (Factory New),Souvenir Dual Berettas | Oil Change,Factory New,0.07,0.1,0.95,325
Souvenir Dual Berettas | Oil Change (Field-Tested),Souvenir Dual Berettas | Oil Change,Field-Tested,0.02,0.03,1.5,278
Souvenir Dual Berettas | Oil Change (Minimal Wear),Souvenir Dual Berettas | Oil Change,Minimal Wear,0.03,0.03,1.58,158
Souvenir Dual Berettas | Oil Change (Well-Worn),Souvenir Dual Berettas | Oil Change,Well-Worn,0.09,0.08,0.54,24
Souvenir Dual Berettas | Stained (Battle-Scarred),Souvenir Dual Berettas | Stained,Battle-Scarred,,41.22,,0
Souvenir Dual Berettas | Stained (Factory New),Souvenir Dual Berettas | Stained,Factory New,,567.19,,0
Souvenir Dual Berettas | Stained (Field-Tested),Souvenir Dual Berettas | Stained,Field-Tested,,44.84,,0
